L,N,J_over_U,tau,burnin_multiplier,t_burn,k,gap_clip,gap_signed,gap_redist,percentile_clip,fi_val_clip,mean_clip
6,3,0.12,3,0.5,2.5,2,-0.001724155605317623,0.005003883438771986,0.007384272191142946,40.0,0.0021097747023094415,0.0038339303076270646
6,3,0.12,3,1.0,5.0,2,-0.0023664874033585415,0.004820388457616731,0.008325413718880716,40.0,0.0024867533489499882,0.00485324075230853
6,3,0.12,3,2.0,10.0,2,0.002609188113296016,0.00909540718620098,0.01130819419396438,80.0,0.007450211545011021,0.004841023431715005
6,3,0.4,3,0.5,2.5,2,0.06435391456787778,0.11596311933911496,0.08710819387730157,100.0,0.11260109448019362,0.048247179912315835
6,3,0.4,3,1.0,5.0,2,0.04709213381862766,0.081755780794398,0.05417627700446245,100.0,0.07763673620988398,0.030544602391256323
6,3,0.4,3,2.0,10.0,2,0.01151309111559525,0.02878350158747464,0.0227718512013156,86.66666666666667,0.025078092374333005,0.013565001258737755
8,4,0.12,3,0.5,2.5,3,-0.005092502380440749,-0.0016132113937466445,0.012450414458021197,21.428571428571427,0.00013641842800204973,0.0052289208084427986
8,4,0.12,3,1.0,5.0,3,-0.006356813555916972,-0.000948724651031792,0.012224828873900043,21.428571428571427,0.0001257003990584593,0.006482513954975432
8,4,0.12,3,2.0,10.0,3,-0.00031382442108465313,0.007830620871055275,0.008286247804751644,53.57142857142857,0.005490000936642425,0.005803825357727078
8,4,0.4,3,0.5,2.5,3,0.06526043122413877,0.12522436437482745,0.060589709215602694,100.0,0.1208548508045919,0.05559441958045313
8,4,0.4,3,1.0,5.0,3,0.07268115989592265,0.12233369626111659,0.053610455065572826,98.21428571428571,0.11756481626080795,0.044883656364885297
8,4,0.4,3,2.0,10.0,3,0.009241127620285795,0.028067507326676483,-0.00526494774016692,80.35714285714286,0.023895844758649032,0.014654717138363237
