L,N,nmax,J_over_U,tau,k,D,n_subsets,fi_val_clip,mean_clip,gap_clip,percentile_clip,top_fi_site
8,4,3,0.12,1,3,322,56,7.036381850400453e-05,0.002283529777258147,-0.0022131659587541425,21.428571428571427,5
8,4,3,0.12,2,3,322,56,0.0,0.0041612264325070715,-0.0041612264325070715,21.428571428571427,5
8,4,3,0.12,3,3,322,56,0.0001257003990584593,0.006482513954975432,-0.006356813555916972,21.428571428571427,5
8,4,3,0.3,1,3,322,56,0.017183740633584632,0.007897999015130042,0.00928574161845459,100.0,3
8,4,3,0.3,2,3,322,56,0.04027404647508759,0.013674995570266413,0.026599050904821175,100.0,3
8,4,3,0.3,3,3,322,56,0.06986478683315511,0.027189183642876015,0.0426756031902791,100.0,3
8,4,3,0.4,1,3,322,56,0.034462420741388944,0.011714436472642422,0.022747984268746524,98.21428571428571,4
8,4,3,0.4,2,3,322,56,0.07483363695035872,0.023257844970455084,0.05157579197990363,98.21428571428571,4
8,4,3,0.4,3,3,322,56,0.11756481626080795,0.044883656364885297,0.07268115989592265,98.21428571428571,4
8,4,4,0.12,1,3,330,56,7.032935333239898e-05,0.002283531274393989,-0.00221320192106159,21.428571428571427,2
8,4,4,0.12,2,3,330,56,0.0,0.004161225530702944,-0.004161225530702944,21.428571428571427,2
8,4,4,0.12,3,3,330,56,0.00012554095838201995,0.006482495908917811,-0.006356954950535791,21.428571428571427,2
8,4,4,0.3,1,3,330,56,0.017167619208265816,0.007887430814614094,0.009280188393651722,100.0,4
8,4,4,0.3,2,3,330,56,0.04022964630326309,0.01363634391709506,0.026593302386168027,100.0,4
8,4,4,0.3,3,3,330,56,0.06979230603856768,0.02712142352542909,0.04267088251313858,100.0,4
8,4,4,0.4,1,3,330,56,0.03441417309114314,0.011658920779521355,0.022755252311621788,100.0,4
8,4,4,0.4,2,3,330,56,0.07471490587251284,0.023105454653568787,0.05160945121894405,100.0,4
8,4,4,0.4,3,3,330,56,0.11738658937876478,0.04466599392576139,0.07272059545300338,100.0,4
