L,J_over_U,tau,k,delta_gamma,spearman_clip,spearman_signed,spearman_redist,pearson_clip,pearson_signed,pearson_redist,topk_overlap_clip,topk_overlap_signed,topk_overlap_redist,top1_match_clip,top1_match_signed
6,0.12,1,2,0.05,-0.8280786712108252,-0.4780914437337575,0.5217939320872036,-0.9734974946716748,-0.8818192290918263,0.9530132122854338,0.0,0.0,0.0,0,0
6,0.12,2,2,0.05,-0.8451542547285166,-0.4285714285714286,0.942857142857143,-0.9734974946716749,-0.9049621914253154,0.9988023401798001,0.0,0.0,1.0,0,0
6,0.12,3,2,0.05,-0.7775419143502353,-0.44136741475237473,0.9121593238215745,-0.9734974946716748,-0.8442199922823499,0.9922167014114314,0.0,0.0,1.0,0,0
6,0.12,1,2,0.1,-0.8451542547285166,-0.5217939320872036,0.48571428571428577,-0.9734974946716748,-0.8815731399185833,0.9529704797508611,0.0,0.0,0.0,0,0
6,0.12,2,2,0.1,-0.8451542547285166,-0.4285714285714286,0.9276336570439175,-0.9734974946716748,-0.9055094875647871,0.9988097757821213,0.0,0.0,1.0,0,0
6,0.12,3,2,0.1,-0.8280786712108252,-0.4780914437337575,1.0,-0.9734974946716748,-0.8530922390477051,0.9933196956494881,0.0,0.0,1.0,0,0
6,0.12,1,2,0.2,-0.7775419143502353,-0.44136741475237473,0.4780914437337575,-0.9734974946716747,-0.8810679765412752,0.9528746348436392,0.0,0.0,0.0,0,0
6,0.12,2,2,0.2,-0.8451542547285166,-0.4285714285714286,0.942857142857143,-0.9734974946716749,-0.9063371065775343,0.9988254778253374,0.0,0.0,1.0,0,0
6,0.12,3,2,0.2,-0.8451542547285166,-0.5002164033860247,0.9276336570439175,-0.9734974946716748,-0.8662357308350124,0.9948509889561571,0.0,0.0,1.0,0,0
6,0.2,1,2,0.05,-0.8451542547285166,-0.8857142857142858,0.8285714285714287,-0.9606487367410501,-0.9741209109315812,0.9982706473475853,0.0,0.0,1.0,0,0
6,0.2,2,2,0.05,-0.8280786712108252,-0.9276336570439175,0.9856107606091623,-0.9606487367410504,-0.9884025974887181,0.9678063664623681,0.0,0.0,1.0,0,0
6,0.2,3,2,0.05,-0.8451542547285166,-1.0,1.0,-0.9606487367410502,-0.9986131033233016,0.733425200783341,0.0,0.0,1.0,0,0
6,0.2,1,2,0.1,-0.8280786712108252,-0.9121593238215745,0.9276336570439175,-0.9606487367410504,-0.9740719315648766,0.9982394257562573,0.0,0.0,1.0,0,0
6,0.2,2,2,0.1,-0.7775419143502353,-0.9276336570439175,0.942857142857143,-0.9606487367410501,-0.9886242095467193,0.9683404247139955,0.0,0.0,1.0,0,0
6,0.2,3,2,0.1,-0.8451542547285166,-0.9856107606091623,0.9856107606091623,-0.9606487367410503,-0.9983791132662609,0.7661584331264741,0.0,0.0,1.0,0,0
6,0.2,1,2,0.2,-0.8280786712108252,-0.9276336570439175,0.8285714285714287,-0.9606487367410503,-0.9739639145749159,0.9981769554353066,0.0,0.0,1.0,0,0
6,0.2,2,2,0.2,-0.8451542547285166,-0.9856107606091623,1.0,-0.9606487367410502,-0.9889796970655493,0.9691785922521203,0.0,0.0,1.0,0,0
6,0.2,3,2,0.2,-0.8451542547285166,-0.9856107606091623,0.8857142857142858,-0.9606487367410503,-0.9980446548074842,0.8118660304665621,0.0,0.0,1.0,0,0
6,0.3,1,2,0.05,-0.8280786712108252,-0.9276336570439175,0.942857142857143,-0.9532000696496872,-0.9958398232774417,0.9506339602327682,0.0,0.0,1.0,0,0
6,0.3,2,2,0.05,,-0.942857142857143,0.9276336570439175,,-0.9439859842018747,0.8600934300454539,0.0,0.0,1.0,0,0
6,0.3,3,2,0.05,0.0,0.40583972495671394,0.48571428571428577,0.21476569709414428,0.5787779654615104,0.1640164960313069,0.0,0.0,1.0,0,0
6,0.3,1,2,0.1,-0.8451542547285166,-0.942857142857143,0.9276336570439175,-0.9532000696496872,-0.9958527197887475,0.950506303597394,0.0,0.0,1.0,0,0
6,0.3,2,2,0.1,,-0.9710083124552245,1.0,,-0.9471865539990945,0.8648243643735318,0.0,0.0,1.0,0,0
6,0.3,3,2,0.1,0.0,0.40583972495671394,0.48571428571428577,0.21476569709414434,0.46804531701212393,0.2324898198102315,0.0,0.0,1.0,0,0
6,0.3,1,2,0.2,-0.8451542547285166,-0.942857142857143,0.8857142857142858,-0.9532000696496871,-0.9958804931141197,0.9502433451963472,0.0,0.0,1.0,0,0
6,0.3,2,2,0.2,,-0.9856107606091623,1.0,,-0.9523691427963671,0.8728450971672346,0.0,0.0,1.0,0,0
6,0.3,3,2,0.2,0.0,-0.5002164033860247,0.48571428571428577,0.21476569709414434,0.1972938468478947,0.32869733563006315,0.0,0.0,1.0,0,0
6,0.4,1,2,0.05,-0.8451542547285166,-0.942857142857143,0.9276336570439175,-0.9382566055259421,-0.9827239953775748,0.953024956297964,0.0,0.0,1.0,0,0
6,0.4,2,2,0.05,,-0.46381682852195877,0.5217939320872036,,-0.7634582140022388,0.7679324188402172,0.0,0.0,1.0,0,0
6,0.4,3,2,0.05,0.5217939320872036,0.48571428571428577,0.5428571428571429,0.8273776953643471,0.8970221141270318,0.09333407139626965,0.0,0.0,1.0,0,0
6,0.4,1,2,0.1,-0.8280786712108252,-0.9276336570439175,0.9276336570439175,-0.9382566055259424,-0.9827444144630362,0.9528789941075161,0.0,0.0,1.0,0,0
6,0.4,2,2,0.1,,-0.9276336570439175,1.0,,-0.7956292128486898,0.7806655752051594,0.0,0.0,1.0,0,0
6,0.4,3,2,0.1,0.5217939320872036,0.48571428571428577,0.5428571428571429,0.7742386522030129,0.8847293151685938,0.08064241868133037,0.0,0.0,1.0,0,0
6,0.4,1,2,0.2,-0.8451542547285166,-0.942857142857143,0.942857142857143,-0.938256605525942,-0.9827877639483137,0.9525798049030307,0.0,0.0,1.0,0,0
