J_over_U,delta,tau,spread_ind,pct_endpointF,pcttot_endpointF,sp_endpointF,sptot_endpointF,pct_coh,pcttot_coh,sp_coh,sptot_coh,pct_cur,pcttot_cur,sp_cur,sptot_cur,pct_occ,pcttot_occ,sp_occ,sptot_occ
0.12,0.1,1,0.00011434340616246763,30.0,80.0,0.030581182753295428,0.8048930119812175,100.0,50.0,0.41337576970244394,-0.28484848484848485,50.0,10.0,-0.06079055436800646,-0.7696969696969697,60.0,100.0,-0.36474332620803873,0.8060606060606059
0.12,0.2,1,0.0002285464292121342,40.0,90.0,-0.009202453987730062,0.7767620419337038,90.0,40.0,0.3841534829910357,-0.3039527718400323,50.0,10.0,-0.030488371665955208,-0.7538028741632801,60.0,100.0,-0.3963488316574177,0.790277206784084
0.12,0.5,1,0.0005702661411968873,40.0,90.0,0.0030581182753295424,0.7865999889816444,100.0,50.0,0.40121765882884264,-0.28484848484848485,50.0,10.0,-0.048632443494405174,-0.7696969696969697,60.0,100.0,-0.37690143708164003,0.8060606060606059
0.12,-0.2,1,0.0002290883358738588,80.0,90.0,-0.006097674333191042,0.44342714992278365,20.0,20.0,-0.3939393939393939,-0.5106406566912542,60.0,50.0,0.04242424242424241,-0.4255338805760452,50.0,100.0,0.38181818181818183,0.8024353176576853
0.12,0.1,2,0.0003401156022972973,40.0,90.0,0.021406827927306794,0.8048930119812175,100.0,50.0,0.41337576970244394,-0.2727272727272727,50.0,10.0,-0.06079055436800646,-0.7818181818181817,60.0,100.0,-0.36474332620803873,0.8181818181818182
0.12,0.2,2,0.0006801044420997882,30.0,80.0,-0.0030581182753295424,0.7981688698610107,100.0,50.0,0.37690143708164003,-0.29179466096643103,50.0,10.0,-0.024316221747202587,-0.7659609850368815,60.0,100.0,-0.40121765882884264,0.8024353176576853
0.12,0.5,2,0.0016995485037187147,40.0,90.0,0.006097674333191042,0.9390418473114204,100.0,70.0,0.3939393939393939,0.01818181818181818,50.0,10.0,-0.04242424242424241,-0.9272727272727272,60.0,100.0,-0.38181818181818183,0.6727272727272726
0.12,-0.2,2,0.0006807040990136071,80.0,90.0,0.02446494620263634,0.4587177412994314,20.0,20.0,-0.36474332620803873,-0.49848254581765294,60.0,50.0,0.012158110873601293,-0.43769199144964654,50.0,100.0,0.41337576970244394,0.8145934285312865
0.12,0.1,3,0.0005982112016436939,10.0,80.0,-0.3048837166595521,0.7865999889816444,90.0,50.0,0.2121212121212121,-0.29696969696969694,50.0,10.0,0.28484848484848485,-0.7575757575757575,60.0,100.0,-0.5636363636363636,0.7939393939393938
0.12,0.2,3,0.0012165336771936635,10.0,80.0,-0.2743953449935969,0.8048930119812175,100.0,50.0,0.23636363636363633,-0.28484848484848485,50.0,10.0,0.2606060606060606,-0.7696969696969697,60.0,100.0,-0.5393939393939393,0.8060606060606059
0.12,0.5,3,0.0031790119275400446,10.0,80.0,-0.27692438781085565,0.9390418473114204,100.0,70.0,0.24465861447252457,0.006060606060606061,50.0,10.0,0.25689154519615076,-0.9151515151515152,60.0,100.0,-0.538248951839554,0.6606060606060605
0.12,-0.2,3,0.001131326444320319,90.0,80.0,0.2660562899536702,0.4573255749893281,20.0,20.0,-0.26747843921922837,-0.5030303030303029,60.0,50.0,-0.23100410659842455,-0.43030303030303024,50.0,100.0,0.5106406566912542,0.8060606060606059
0.2,0.1,1,0.00034663042277455203,40.0,90.0,0.06422048378192038,0.7561116173156892,30.0,80.0,0.01829268292682927,0.7781190959104827,50.0,10.0,-0.012158110873601293,-0.7575757575757575,30.0,80.0,0.012158110873601293,0.7696969696969697
0.2,0.2,1,0.0006928684321704515,40.0,90.0,0.09146511499786562,0.9174354825988628,30.0,90.0,0.03647433262080388,0.9268292682926831,50.0,10.0,-0.01818181818181818,-0.9118583155200968,30.0,90.0,0.0303030303030303,0.9240164263936982
0.2,0.5,1,0.0017287753696032526,30.0,80.0,0.07926976633148354,0.9146511499786562,40.0,90.0,0.024316221747202584,0.9240164263936983,50.0,10.0,-0.01818181818181818,-0.9151515151515152,40.0,90.0,0.0303030303030303,0.9272727272727272
0.2,-0.2,1,0.0006942536609766681,80.0,80.0,-0.06097674333191042,0.7561116173156892,70.0,90.0,-0.024316221747202584,0.7781190959104827,60.0,10.0,0.04242424242424241,-0.7696969696969697,70.0,90.0,-0.0303030303030303,0.7818181818181817
0.2,0.1,2,0.0010398654677694621,10.0,80.0,-0.2177914110429448,0.9146511499786562,20.0,90.0,-0.23241698892504525,0.9240164263936983,50.0,10.0,0.22561395032806852,-0.9151515151515152,20.0,90.0,-0.22561395032806852,0.9272727272727272
0.2,0.2,2,0.0021049415544493093,20.0,80.0,-0.22630075237438613,0.9146511499786562,20.0,90.0,-0.2682926829268293,0.9240164263936983,50.0,10.0,0.2796365500928297,-0.9151515151515152,20.0,90.0,-0.26747843921922837,0.9272727272727272
