L,J_over_U,tau,S,C_S_burn,D_S,handle_pct,sp_out_Rii,sp_Fi_out,cont_err
6,0.12,1,"(2, 3)",9.745284981107756e-05,0.0001521204324874681,40.0,-0.9276336570439175,0.48571428571428577,2.198590659826735e-06
6,0.12,2,"(2, 3)",9.745284981107756e-05,0.0007603518573284784,40.0,-0.942857142857143,0.48571428571428577,2.198590659826735e-06
6,0.12,3,"(2, 3)",9.745284981107756e-05,0.0024867533489499882,40.0,-0.956182887467515,0.48571428571428577,2.198590659826735e-06
6,0.16,1,"(2, 3)",0.0017349101444132126,0.0019458501773800263,40.0,-0.9856107606091623,0.5428571428571429,4.307079687321247e-06
6,0.16,2,"(2, 3)",0.0017349101444132126,0.0050282789449638265,53.333333333333336,-0.8696565534786727,0.5428571428571429,4.307079687321247e-06
6,0.16,3,"(2, 3)",0.0017349101444132126,0.010400208753558515,66.66666666666666,-0.9710083124552245,0.5428571428571429,4.307079687321247e-06
6,0.2,1,"(2, 3)",0.005368664155730814,0.00570688457288504,80.0,-0.44136741475237473,0.5428571428571429,1.049757077636014e-05
6,0.2,2,"(2, 3)",0.005368664155730814,0.013232740690823142,86.66666666666667,-0.46381682852195877,0.5428571428571429,1.049757077636014e-05
6,0.2,3,"(2, 3)",0.005368664155730814,0.024011473830349073,86.66666666666667,-0.5217939320872036,0.5428571428571429,1.049757077636014e-05
6,0.24,1,"(2, 3)",0.010963396396664448,0.011089567213926288,86.66666666666667,-0.44136741475237473,0.4285714285714286,1.9915839627776717e-05
6,0.24,2,"(2, 3)",0.010963396396664448,0.02421051758393067,100.0,-0.44136741475237473,0.4285714285714286,1.9915839627776717e-05
6,0.24,3,"(2, 3)",0.010963396396664448,0.04068942668202291,100.0,0.44136741475237473,0.4285714285714286,1.9915839627776717e-05
6,0.3,1,"(2, 3)",0.02101233795403619,0.019906587795288866,100.0,-0.942857142857143,1.0,3.1224072107854245e-05
6,0.3,2,"(2, 3)",0.02101233795403619,0.04100046622405362,100.0,-0.9710083124552245,1.0,3.1224072107854245e-05
6,0.3,3,"(2, 3)",0.02101233795403619,0.06307091567405854,100.0,0.40583972495671394,1.0,3.1224072107854245e-05
6,0.4,1,"(2, 3)",0.033848403060241464,0.029066618371854425,100.0,-0.9276336570439175,1.0,5.166293682876133e-05
6,0.4,2,"(2, 3)",0.033848403060241464,0.05472207222067438,100.0,-0.9276336570439175,1.0,5.166293682876133e-05
6,0.4,3,"(2, 3)",0.033848403060241464,0.07763673620988398,100.0,0.48571428571428577,1.0,5.166293682876133e-05
