tau,S_fi,S_geo,S_sd,overlap_fi_geo,overlap_fi_sd,pct_fi,pct_geo,pct_sd,sd_fi,sd_geo,sd_opt,on_signed,off_frac,sp_Fi_total,sp_Fi_diag,setting,pattern,strength,J_over_U,D_S,C_S_burn
1,"(1, 2)","(2, 3)","(0, 4)",0.5,0.0,100.0,73.33333333333333,40.0,-0.0051759644317683,-0.0021163239333857,0.0027307710513815,-0.0192531749642037,0.5000000000000024,1.0,-0.6,tilt,tilt,0.5,0.12,0.0192531749642037,0.02109805999825167
2,"(1, 2)","(2, 3)","(0, 4)",0.5,0.0,100.0,73.33333333333333,40.0,-0.0124966252967717,-0.0065570724920935,0.0060289989653919,-0.0377467039337564,0.4999999999999971,1.0,-0.7714285714285715,tilt,tilt,0.5,0.12,0.0377467039337564,0.02109805999825167
3,"(1, 2)","(2, 3)","(4, 5)",0.5,0.0,100.0,80.0,40.0,-0.0016613018811939,-0.0032520620445761,0.0058056134580332,-0.0599889537229736,0.5000000000000054,0.8285714285714287,-0.4285714285714286,tilt,tilt,0.5,0.12,0.0599889537229736,0.02109805999825167
1,"(1, 2)","(2, 3)","(0, 4)",0.5,0.0,100.0,93.33333333333331,40.0,-0.0093651535750916,-0.0063124222487592,0.0033732743701275,-0.0226063979748355,0.5129139582227944,0.7714285714285715,-0.5428571428571429,tilt,tilt,0.5,0.2,0.0226063979748355,0.027042701053466414
2,"(1, 2)","(2, 3)","(4, 5)",0.5,0.0,100.0,93.33333333333331,40.0,-0.0201184031084467,-0.0203666978408872,0.0072300813994881,-0.0439307248396082,0.543500159596932,0.7142857142857143,-0.6571428571428573,tilt,tilt,0.5,0.2,0.0439307248396082,0.027042701053466414
3,"(1, 2)","(2, 3)","(2, 5)",0.5,0.5,100.0,86.66666666666667,60.0,0.0152972277768781,-0.0124640604567949,0.0205139010260623,-0.0719740694585875,0.5483455308646863,0.6,0.1428571428571428,tilt,tilt,0.5,0.2,0.0719740694585875,0.027042701053466414
1,"(1, 2)","(2, 3)","(0, 5)",0.5,0.0,100.0,66.66666666666666,26.666666666666668,-0.0157779048384676,-0.0111499627445654,0.0043107321935043,-0.0251012405508026,0.6388232657814795,0.8285714285714287,-0.8285714285714287,tilt,tilt,0.5,0.3,0.0251012405508026,0.026657415896976996
2,"(1, 2)","(2, 3)","(0, 5)",0.5,0.0,100.0,66.66666666666666,60.0,-0.0248827056693778,-0.0292635367602428,0.0137617808721653,-0.0571459614628047,0.6194933923004737,0.7142857142857143,-0.5428571428571429,tilt,tilt,0.5,0.3,0.0571459614628047,0.026657415896976996
3,"(1, 2)","(2, 3)","(1, 5)",0.5,0.5,100.0,66.66666666666666,86.66666666666667,0.0472334132163543,-0.0030857716320853,0.0478275919315836,-0.0972650129645551,0.5920343955570626,0.4857142857142857,0.3714285714285715,tilt,tilt,0.5,0.3,0.0972650129645551,0.026657415896976996
1,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,93.33333333333331,66.66666666666666,46.666666666666664,-0.0134428919654772,-0.0176378134329857,0.004293682611632,-0.0346695679551036,0.6551437077803097,0.7142857142857143,-0.6571428571428573,tilt,tilt,0.5,0.4,0.0346695679551036,0.03499166709732074
2,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,93.33333333333331,73.33333333333333,53.333333333333336,-0.0007074308970556,-0.030594166242559,0.0130324281453667,-0.0799207220998593,0.661366657030667,0.2571428571428572,-0.0857142857142857,tilt,tilt,0.5,0.4,0.0799207220998593,0.03499166709732074
