J_over_U,tau,gamma_loss,pct_fi,pct_geo,pct_maxn,pct_edge,dN_fi,dN_edge,dN_spread,sp_dN_n,sp_dN_fi,sp_dN_cur,sp_dN_geo,fi_eq_maxn,fi_eq_geo,on_loss,off_chg
0.12,1,0.02,66.66666666666666,66.66666666666666,100.0,6.666666666666667,0.0210809131128622,0.016846488691649952,0.004633244101909018,0.9569953944480929,0.6405415802972165,0.9498268896207664,0.5690918405373974,0,1,0.021073778692812906,-7.134420050902701e-06
0.12,2,0.02,66.66666666666666,66.66666666666666,100.0,6.666666666666667,0.04175077395766813,0.033496147208567084,0.008934953204283946,0.9534111420344299,0.6360370684807803,0.9498268896207664,0.5690918405373974,0,1,0.04099933944256662,-0.0007514345151028445
0.12,3,0.02,66.66666666666666,66.66666666666666,100.0,6.666666666666667,0.062037060711950254,0.04997242868821994,0.012936011080793453,0.9605796468617563,0.6432442873870782,0.9569953944480929,0.5690918405373974,0,1,0.05941378084149329,-0.0026232798704584614
0.12,1,0.05,66.66666666666666,66.66666666666666,100.0,6.666666666666667,0.05192552402572259,0.041494896238578605,0.011415796492881825,0.9552788093989292,0.6420904850458189,0.9481231628865777,0.5680710471764941,0,1,0.05165533317456239,-0.00027019085116170016
0.12,2,0.05,66.66666666666666,66.66666666666666,100.0,6.666666666666667,0.1013754138234213,0.08132471760528048,0.021743086345114016,0.9471833624667824,0.632765583223744,0.9579264629862545,0.5685807566080429,0,1,0.09879561461144892,-0.002579799211973377
0.12,3,0.05,66.66666666666666,66.66666666666666,100.0,6.666666666666667,0.14859816428865358,0.11967073379503246,0.031195849085917438,0.9642857142857141,0.644533585675281,0.9535714285714283,0.5670557272457425,0,1,0.14072965307334473,-0.007868511215309626
0.12,1,0.1,66.66666666666666,66.66666666666666,100.0,6.666666666666667,0.1013293713136374,0.08097275970257822,0.022288261796486797,0.9660122791674566,0.64838548980117,0.9624344559112809,0.5680710471764941,0,1,0.10063731424814787,-0.0006920570654910252
0.12,2,0.1,66.66666666666666,66.66666666666666,100.0,6.666666666666667,0.19325343189620137,0.15500725343017763,0.04160076992305939,0.9579264629862545,0.6426666094192792,0.950764395973273,0.5685807566080429,0,1,0.18784527246363447,-0.005408159432568227
0.12,3,0.1,66.66666666666666,66.66666666666666,100.0,6.666666666666667,0.27714637076707405,0.22311022919430545,0.05882789290647672,0.944545339630402,0.6321983347159812,0.9481231628865777,0.5680710471764941,0,1,0.2614217397586463,-0.01572463100842869
0.2,1,0.02,100.0,100.0,100.0,6.666666666666667,0.02188525552943066,0.01586448149846431,0.006020774030966347,0.9579264629862545,0.9659513719507513,0.6427955144150754,0.9662156648241251,1,1,0.027690856560214527,0.00580560103078237
