tau,J_over_U,overlap_fi_geo,C_S_burn,D_S,D_S_geo,off_sel_frac,pct_fi,pct_geo,pct_dopt,dopt_eq_fi,sp_Fi_drain,D_S_neg,setting,pattern,strength
1,0.12,0.5,0.02109805999825167,0.056664750308538014,0.027160868393462684,0.4999999999999959,86.66666666666667,53.333333333333336,86.66666666666667,1,0.8285714285714287,,tilt,tilt,0.5
2,0.12,0.5,0.02109805999825167,0.15603478994375497,0.07975376264773876,0.49999999999999883,86.66666666666667,46.666666666666664,86.66666666666667,1,0.8285714285714287,,tilt,tilt,0.5
3,0.12,0.5,0.02109805999825167,0.2679572312603413,0.14008726635208837,0.4999999999999996,86.66666666666667,46.666666666666664,86.66666666666667,1,0.942857142857143,-0.12919573121009753,tilt,tilt,0.5
1,0.2,0.5,0.027042701053466414,0.09530047933389185,0.05817129566475743,0.4999999999999998,86.66666666666667,46.666666666666664,86.66666666666667,1,1.0,,tilt,tilt,0.5
2,0.2,0.5,0.027042701053466414,0.26223026363166624,0.16655179345595011,0.4999999999999994,86.66666666666667,46.666666666666664,86.66666666666667,1,1.0,,tilt,tilt,0.5
3,0.2,0.5,0.027042701053466414,0.4229189699949838,0.27333832682853354,0.4999999999999998,86.66666666666667,46.666666666666664,86.66666666666667,1,1.0,-0.27597122300764076,tilt,tilt,0.5
1,0.3,0.5,0.026657415896976996,0.13640696425907406,0.08707807405518586,0.4999999999999999,73.33333333333333,46.666666666666664,73.33333333333333,1,1.0,,tilt,tilt,0.5
2,0.3,0.5,0.026657415896976996,0.36358341511665526,0.23967030245007398,0.49999999999999994,86.66666666666667,46.666666666666664,86.66666666666667,1,1.0,,tilt,tilt,0.5
3,0.3,0.5,0.026657415896976996,0.520292815693187,0.3633331398655866,0.5,100.0,60.0,100.0,1,1.0,-0.3610574137606686,tilt,tilt,0.5
1,0.4,0.0,0.03499166709732074,0.11172773181308371,0.11729738543982404,0.5000000000000003,33.33333333333333,46.666666666666664,80.0,0,0.942857142857143,,tilt,tilt,0.5
2,0.4,0.0,0.03499166709732074,0.2664570151220419,0.3022056859172113,0.5000000000000003,33.33333333333333,60.0,100.0,0,0.942857142857143,,tilt,tilt,0.5
3,0.4,0.0,0.03499166709732074,0.38510559105877906,0.40939734530067895,0.5000000000000001,80.0,86.66666666666667,80.0,1,1.0,-0.1616362515288875,tilt,tilt,0.5
1,0.12,0.5,0.026845975144067776,0.06044294076978596,0.02960338330724764,0.500000000000002,100.0,53.333333333333336,100.0,1,0.8285714285714287,,tilt,tilt,1.0
