tau,S_fi,S_geo,S_sd,overlap_fi_geo,overlap_fi_sd,pct_fi,pct_geo,pct_sd,sd_fi,sd_geo,sd_opt,on_signed,off_frac,sp_Fi_total,sp_Fi_diag,setting,pattern,strength,J_over_U
1,"(1, 2)","(2, 3)","(0, 4)",0.5,0.0,100.0,73.33333333333333,40.0,-0.005175964431768376,-0.002116323933385733,0.002730771051381517,-0.019253174964203756,0.5000000000000024,1.0,-0.6,tilt,tilt,0.5,0.12
2,"(1, 2)","(2, 3)","(0, 4)",0.5,0.0,100.0,73.33333333333333,40.0,-0.012496625296771757,-0.00655707249209353,0.006028998965391941,-0.037746703933756454,0.49999999999999717,1.0,-0.7714285714285715,tilt,tilt,0.5,0.12
3,"(1, 2)","(2, 3)","(4, 5)",0.5,0.0,100.0,80.0,40.0,-0.001661301881193955,-0.0032520620445761206,0.005805613458033255,-0.05998895372297364,0.5000000000000054,0.8285714285714287,-0.4285714285714286,tilt,tilt,0.5,0.12
1,"(1, 2)","(2, 3)","(0, 4)",0.5,0.0,100.0,93.33333333333333,40.0,-0.0093651535750916,-0.006312422248759275,0.003373274370127577,-0.022606397974835546,0.5129139582227944,0.7714285714285715,-0.5428571428571429,tilt,tilt,0.5,0.2
2,"(1, 2)","(2, 3)","(4, 5)",0.5,0.0,100.0,93.33333333333333,40.0,-0.020118403108446703,-0.020366697840887293,0.007230081399488102,-0.04393072483960825,0.543500159596932,0.7142857142857143,-0.6571428571428573,tilt,tilt,0.5,0.2
3,"(1, 2)","(2, 3)","(2, 5)",0.5,0.5,100.0,86.66666666666667,60.0,0.015297227776878142,-0.012464060456794934,0.02051390102606236,-0.07197406945858753,0.5483455308646863,0.6,0.14285714285714288,tilt,tilt,0.5,0.2
1,"(1, 2)","(2, 3)","(0, 5)",0.5,0.0,100.0,66.66666666666666,26.666666666666668,-0.015777904838467638,-0.011149962744565478,0.004310732193504377,-0.02510124055080265,0.6388232657814795,0.8285714285714287,-0.8285714285714287,tilt,tilt,0.5,0.3
2,"(1, 2)","(2, 3)","(0, 5)",0.5,0.0,100.0,66.66666666666666,60.0,-0.02488270566937789,-0.029263536760242848,0.013761780872165313,-0.057145961462804706,0.6194933923004737,0.7142857142857143,-0.5428571428571429,tilt,tilt,0.5,0.3
3,"(1, 2)","(2, 3)","(1, 5)",0.5,0.5,100.0,66.66666666666666,86.66666666666667,0.047233413216354325,-0.0030857716320853434,0.04782759193158362,-0.09726501296455514,0.5920343955570626,0.48571428571428577,0.3714285714285715,tilt,tilt,0.5,0.3
1,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,93.33333333333333,66.66666666666666,46.666666666666664,-0.01344289196547721,-0.01763781343298576,0.004293682611632016,-0.034669567955103675,0.6551437077803097,0.7142857142857143,-0.6571428571428573,tilt,tilt,0.5,0.4
2,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,93.33333333333333,73.33333333333333,53.333333333333336,-0.0007074308970556054,-0.030594166242559062,0.013032428145366703,-0.07992072209985934,0.661366657030667,0.2571428571428572,-0.08571428571428573,tilt,tilt,0.5,0.4
3,"(0, 1)","(2, 3)","(0, 1)",0.0,1.0,93.33333333333333,60.0,93.33333333333333,0.08044408724256158,0.02101892578270148,0.08044408724256158,-0.1341603929924433,0.6492543313893482,0.5428571428571429,0.7714285714285715,tilt,tilt,0.5,0.4
1,"(1, 2)","(2, 3)","(0, 3)",0.5,0.0,100.0,73.33333333333333,40.0,-0.006278195513513829,-0.00243761067217102,0.004533743743504737,-0.024135095001419082,0.4999999999999935,0.942857142857143,-0.3714285714285715,tilt,tilt,1.0,0.12
2,"(1, 2)","(2, 3)","(0, 4)",0.5,0.0,100.0,80.0,40.0,-0.014724105394435805,-0.007442632113127123,0.00855946398453069,-0.046983292785731434,0.4999999999999998,0.942857142857143,-0.6,tilt,tilt,1.0,0.12
3,"(1, 2)","(2, 3)","(2, 4)",0.5,0.5,100.0,93.33333333333333,80.0,-0.004604694071896898,-0.005142578724917635,0.005169320962938612,-0.07454005447287437,0.5000000000000007,0.7714285714285715,0.028571428571428574,tilt,tilt,1.0,0.12
1,"(1, 2)","(2, 3)","(0, 4)",0.5,0.0,100.0,80.0,40.0,-0.010741564485878818,-0.005406556667713336,0.004979192947985392,-0.030755103315665,0.49999999999999656,0.942857142857143,-0.5428571428571429,tilt,tilt,1.0,0.2
